name,price,link,instrument
Thomastik 131 A Dominant Violin-Einzelsaite A,11 €,https://www.thomann.de/de//thomastik_dominant_violin_a.htm?listPosition=0&type=category,https://www.thomann.de/de//thomastik_dominant_violin_a.htm?listPosition=0&type=category
Thomastik Peter Infeld Violin 4/4 Platin,79 €,https://www.thomann.de/de//thomastik_peter_infeld_violin_4_4_platin.htm?listPosition=1&type=category,https://www.thomann.de/de//thomastik_peter_infeld_violin_4_4_platin.htm?listPosition=1&type=category
Pirastro Evah Pirazzi Saitensatz für Violine,88 €,https://www.thomann.de/de//pirastro_evah_pirazzi_violinsaitensatz.htm?listPosition=2&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_violinsaitensatz.htm?listPosition=2&type=category
Thomastik Dominant 135 4/4 Violinsaiten,49 €,https://www.thomann.de/de//thomastik_dominant.htm?listPosition=3&type=category,https://www.thomann.de/de//thomastik_dominant.htm?listPosition=3&type=category
Thomastik Vision Titanium Violinsaiten 4/4,59 €,https://www.thomann.de/de//thomastik_vision_titanium.htm?listPosition=4&type=category,https://www.thomann.de/de//thomastik_vision_titanium.htm?listPosition=4&type=category
Thomastik Dominant 135B 4/4 Violinsaiten,44 €,https://www.thomann.de/de//thomastik_dominant_633628.htm?listPosition=5&type=category,https://www.thomann.de/de//thomastik_dominant_633628.htm?listPosition=5&type=category
Thomastik Dominant G Violin 4/4 medium,"16,90 €",https://www.thomann.de/de//thomastik_dominant_g_violin_4_4_medium.htm?listPosition=6&type=category,https://www.thomann.de/de//thomastik_dominant_g_violin_4_4_medium.htm?listPosition=6&type=category
Thomastik Peter Infeld Violin G 4/4,24 €,https://www.thomann.de/de//thomastik_peter_infeld_violin_g_4_4.htm?listPosition=7&type=category,https://www.thomann.de/de//thomastik_peter_infeld_violin_g_4_4.htm?listPosition=7&type=category
Pirastro Chromcor 4/4 Violinsaiten,35 €,https://www.thomann.de/de//pirastro_chromcor.htm?listPosition=8&type=category,https://www.thomann.de/de//pirastro_chromcor.htm?listPosition=8&type=category
Pirastro Evah Pirazzi Gold G-SI BE,95 €,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_si_be.htm?listPosition=9&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_si_be.htm?listPosition=9&type=category
Thomastik Dominant 135 1/2 Violinsaiten Satz,47 €,https://www.thomann.de/de//thomastik_135_dominant_12_violinsaiten.htm?listPosition=10&type=category,https://www.thomann.de/de//thomastik_135_dominant_12_violinsaiten.htm?listPosition=10&type=category
Thomastik Superflexible Violin 4/4 med,42 €,https://www.thomann.de/de//thomastik_superflexible_15a_violinsaiten.htm?listPosition=11&type=category,https://www.thomann.de/de//thomastik_superflexible_15a_violinsaiten.htm?listPosition=11&type=category
Thomastik Vision Solo VIS100 4/4 Violin,55 €,https://www.thomann.de/de//thomastik_vision_solo_vis100_4_4_violin.htm?listPosition=12&type=category,https://www.thomann.de/de//thomastik_vision_solo_vis100_4_4_violin.htm?listPosition=12&type=category
Thomastik Dominant 135 3/4 Violinsaiten,47 €,https://www.thomann.de/de//thomastik_dominant_34_violinsaiten.htm?listPosition=13&type=category,https://www.thomann.de/de//thomastik_dominant_34_violinsaiten.htm?listPosition=13&type=category
Thomastik Dynamo Violin 4/4 Medium,119 €,https://www.thomann.de/de//thomastik_dynamo_violin_4_4_medium.htm?listPosition=14&type=category,https://www.thomann.de/de//thomastik_dynamo_violin_4_4_medium.htm?listPosition=14&type=category
Warchal Amber Violin 4/4 BE,67 €,https://www.thomann.de/de//warchal_amber_violin_4_4_be.htm?listPosition=15&type=category,https://www.thomann.de/de//warchal_amber_violin_4_4_be.htm?listPosition=15&type=category
Thomastik Peter Infeld Violin 4/4 Steel,79 €,https://www.thomann.de/de//thomastik_peter_infeld_pi101_violin.htm?listPosition=16&type=category,https://www.thomann.de/de//thomastik_peter_infeld_pi101_violin.htm?listPosition=16&type=category
Thomastik AL100 Alphayue Violin 3/4,24 €,https://www.thomann.de/de//thomastik_al100_alphayue_violin_3_4.htm?listPosition=17&type=category,https://www.thomann.de/de//thomastik_al100_alphayue_violin_3_4.htm?listPosition=17&type=category
Thomastik DP100 Dominant Pro Violin 4/4,69 €,https://www.thomann.de/de//thomastik_dp100_dominant_pro_violin_4_4.htm?listPosition=18&type=category,https://www.thomann.de/de//thomastik_dp100_dominant_pro_violin_4_4.htm?listPosition=18&type=category
Pirastro Evah Pirazzi Violin E Gold BE,100 €,https://www.thomann.de/de//pirastro_evah_pirazzi_violin_e_gold_be.htm?listPosition=19&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_violin_e_gold_be.htm?listPosition=19&type=category
Thomastik AL100 Alphayue Violin 4/4,24 €,https://www.thomann.de/de//thomastik_al100_alphayue_violin_4_4.htm?listPosition=20&type=category,https://www.thomann.de/de//thomastik_al100_alphayue_violin_4_4.htm?listPosition=20&type=category
Pirastro Tonica Violin 1/4-1/8,"28,90 €",https://www.thomann.de/de//pirastro_tonica_2.htm?listPosition=21&type=category,https://www.thomann.de/de//pirastro_tonica_2.htm?listPosition=21&type=category
Pirastro Tonica Violin 4/4 Alu med. BTL,"28,90 €",https://www.thomann.de/de//pirastro_tonica_violin_4_4_alu_med._btl.htm?listPosition=22&type=category,https://www.thomann.de/de//pirastro_tonica_violin_4_4_alu_med._btl.htm?listPosition=22&type=category
Thomastik Vision Titanium Solo D VIT03,"17,90 €",https://www.thomann.de/de//thomastik_vision_titanium_solo_d_vit03.htm?listPosition=23&type=category,https://www.thomann.de/de//thomastik_vision_titanium_solo_d_vit03.htm?listPosition=23&type=category
Thomastik Peter Infeld Violin D 4/4 Sil.,26 €,https://www.thomann.de/de//thomastik_peter_infeld_violin_d_4_4_sil.htm?listPosition=24&type=category,https://www.thomann.de/de//thomastik_peter_infeld_violin_d_4_4_sil.htm?listPosition=24&type=category
Thomastik Dominant D Violin 4/4 Silver M,"16,90 €",https://www.thomann.de/de//thomastik_dominant_d_violin_4_4_silver_m.htm?listPosition=25&type=category,https://www.thomann.de/de//thomastik_dominant_d_violin_4_4_silver_m.htm?listPosition=25&type=category
Pirastro Gold E Violin 4/4 KGL Medium,"6,30 €",https://www.thomann.de/de//pirastro_gold_e_violin_4_4_kgl_medium.htm?listPosition=26&type=category,https://www.thomann.de/de//pirastro_gold_e_violin_4_4_kgl_medium.htm?listPosition=26&type=category
Thomastik Vision 4/4 Violinsaiten,37 €,https://www.thomann.de/de//thomastik_vision_44_violinsaiten.htm?listPosition=27&type=category,https://www.thomann.de/de//thomastik_vision_44_violinsaiten.htm?listPosition=27&type=category
Thomastik Vision Titanium Solo A VIT02,"11,90 €",https://www.thomann.de/de//thomastik_vision_titanium_solo_a_vit02.htm?listPosition=28&type=category,https://www.thomann.de/de//thomastik_vision_titanium_solo_a_vit02.htm?listPosition=28&type=category
Thomastik Rondo Gold Violin 4/4 Medium,119 €,https://www.thomann.de/de//thomastik_rondo_gold_violin_4_4_medium.htm?listPosition=29&type=category,https://www.thomann.de/de//thomastik_rondo_gold_violin_4_4_medium.htm?listPosition=29&type=category
Daddario Prelude J810-4/4M Saiten für Violine Medium,24 €,https://www.thomann.de/de//daddario_prelude_j810m_violinsaiten.htm?listPosition=30&type=category,https://www.thomann.de/de//daddario_prelude_j810m_violinsaiten.htm?listPosition=30&type=category
Thomastik Vision Solo VIS101 4/4,57 €,https://www.thomann.de/de//thomastik_vision_solo_44_violinstrings.htm?listPosition=31&type=category,https://www.thomann.de/de//thomastik_vision_solo_44_violinstrings.htm?listPosition=31&type=category
Thomastik RO100 Rondo Violin Strings 4/4,98 €,https://www.thomann.de/de//thomastik_ro100_rondo_violin_strings_4_4.htm?listPosition=32&type=category,https://www.thomann.de/de//thomastik_ro100_rondo_violin_strings_4_4.htm?listPosition=32&type=category
Pirastro Passione 4/4 Violinsaiten,128 €,https://www.thomann.de/de//pirastro_passione_violinsaiten.htm?listPosition=33&type=category,https://www.thomann.de/de//pirastro_passione_violinsaiten.htm?listPosition=33&type=category
Pirastro Violinsaiten Violino 4/4,35 €,https://www.thomann.de/de//pirastro_violinsaiten_violino_44.htm?listPosition=34&type=category,https://www.thomann.de/de//pirastro_violinsaiten_violino_44.htm?listPosition=34&type=category
Pirastro Evah Pirazzi Gold G-SI LP,95 €,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_si_lp.htm?listPosition=35&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_si_lp.htm?listPosition=35&type=category
Thomastik TI100 Violin Strings Set 4/4,64 €,https://www.thomann.de/de//thomastik_ti100_violin_strings_set_4_4.htm?listPosition=36&type=category,https://www.thomann.de/de//thomastik_ti100_violin_strings_set_4_4.htm?listPosition=36&type=category
Thomastik Peter Infeld Violin A 4/4,"19,90 €",https://www.thomann.de/de//thomastik_peter_infeld_violin_a_4_4.htm?listPosition=37&type=category,https://www.thomann.de/de//thomastik_peter_infeld_violin_a_4_4.htm?listPosition=37&type=category
Pirastro Evah Pirazzi Gold G-Gold LP,142 €,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_gold_lp.htm?listPosition=38&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_g_gold_lp.htm?listPosition=38&type=category
Pirastro Evah Pirazzi Gold D Violin 4/4,32 €,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_d_violin_4_4.htm?listPosition=39&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_gold_d_violin_4_4.htm?listPosition=39&type=category
Thomastik Dominant Violin 1/4 Alu medium,47 €,https://www.thomann.de/de//thomastik_dominant_14_violinsaiten.htm?listPosition=40&type=category,https://www.thomann.de/de//thomastik_dominant_14_violinsaiten.htm?listPosition=40&type=category
Thomastik AL100 Alphayue Violin 1/2,24 €,https://www.thomann.de/de//thomastik_al100_alphayue_violin_1_2.htm?listPosition=41&type=category,https://www.thomann.de/de//thomastik_al100_alphayue_violin_1_2.htm?listPosition=41&type=category
Pirastro Tonica 3/4-1/2 Violinsaiten,"28,90 €",https://www.thomann.de/de//pirastro_tonica_03.htm?listPosition=42&type=category,https://www.thomann.de/de//pirastro_tonica_03.htm?listPosition=42&type=category
Kaplan KS311W Non Whistling E String,"11,90 €",https://www.thomann.de/de//kaplan_ks311w_non_whistling_e_string.htm?listPosition=43&type=category,https://www.thomann.de/de//kaplan_ks311w_non_whistling_e_string.htm?listPosition=43&type=category
Daddario H350 4/4M Helicore Octave Vn,94 €,https://www.thomann.de/de//daddario_h350_4_4m_helicore_octave_vn.htm?listPosition=44&type=category,https://www.thomann.de/de//daddario_h350_4_4m_helicore_octave_vn.htm?listPosition=44&type=category
Thomastik Infeld IR 100 Violinsaiten,58 €,https://www.thomann.de/de//thomastikinfeld_ir100_violinsaiten.htm?listPosition=45&type=category,https://www.thomann.de/de//thomastikinfeld_ir100_violinsaiten.htm?listPosition=45&type=category
Thomastik Vision Titanium Solo G VIT04,"17,90 €",https://www.thomann.de/de//thomastik_vision_titanium_solo_g_vit04.htm?listPosition=46&type=category,https://www.thomann.de/de//thomastik_vision_titanium_solo_g_vit04.htm?listPosition=46&type=category
Pirastro Evah Pirazzi A Violin 4/4,23 €,https://www.thomann.de/de//pirastro_evah_pirazzi_a_violin_4_4.htm?listPosition=47&type=category,https://www.thomann.de/de//pirastro_evah_pirazzi_a_violin_4_4.htm?listPosition=47&type=category
Daddario HE310-5 4/4M Helicore Violin,79 €,https://www.thomann.de/de//daddario_he310_5_4_4m_helicore_violin.htm?listPosition=48&type=category,https://www.thomann.de/de//daddario_he310_5_4_4m_helicore_violin.htm?listPosition=48&type=category
Pirastro No.1 E Violin 4/4 KGL Medium,"12,90 €",https://www.thomann.de/de//pirastro_no.1_e_violin_4_4_kgl_medium.htm?listPosition=49&type=category,https://www.thomann.de/de//pirastro_no.1_e_violin_4_4_kgl_medium.htm?listPosition=49&type=category
Thomastik Dominant Violinensaite D Alu mit Nylonkern,"15,90 €",https://www.thomann.de/de//thomastik_dominant_violinensaite_d_633616.htm?listPosition=50&type=category,https://www.thomann.de/de//thomastik_dominant_violinensaite_d_633616.htm?listPosition=50&type=category
Daddario DZ310S-4/4M Zyex Violin 4/4,69 €,https://www.thomann.de/de//daddario_dz310s_4_4m_zyex_violin_4_4.htm?listPosition=51&type=category,https://www.thomann.de/de//daddario_dz310s_4_4m_zyex_violin_4_4.htm?listPosition=51&type=category
Pirastro Obligato E Violin 4/4 BE,16 €,https://www.thomann.de/de//pirastro_obligato_e_violin_4_4_be.htm?listPosition=52&type=category,https://www.thomann.de/de//pirastro_obligato_e_violin_4_4_be.htm?listPosition=52&type=category
Pirastro Tonica Violin 1/16-1/32,29 €,https://www.thomann.de/de//pirastro_tonica_04.htm?listPosition=53&type=category,https://www.thomann.de/de//pirastro_tonica_04.htm?listPosition=53&type=category
Daddario J56 4/4M Pro Arte Violin Str.,48 €,https://www.thomann.de/de//daddario_j56_4_4m_pro_arte_violin_str.htm?listPosition=54&type=category,https://www.thomann.de/de//daddario_j56_4_4m_pro_arte_violin_str.htm?listPosition=54&type=category
Pirastro Passione Solo Violin G 4/4 med,56 €,https://www.thomann.de/de//pirastro_passione_solo_violin_g_4_4_med.htm?listPosition=55&type=category,https://www.thomann.de/de//pirastro_passione_solo_violin_g_4_4_med.htm?listPosition=55&type=category
Daddario DZ310A-4/4M Zyex Violin 4/4,64 €,https://www.thomann.de/de//daddario_dz310a_4_4m_zyex_violin_4_4.htm?listPosition=56&type=category,https://www.thomann.de/de//daddario_dz310a_4_4m_zyex_violin_4_4.htm?listPosition=56&type=category
"Optima Goldbrokat e"" 0.26 medium BE","2,20 €",https://www.thomann.de/de//optima_goldbrokat_e_0.26_medium_be.htm?listPosition=57&type=category,https://www.thomann.de/de//optima_goldbrokat_e_0.26_medium_be.htm?listPosition=57&type=category
Pirastro Obligato Violin 3/4-1/2 KGL,39 €,https://www.thomann.de/de//pirastro_obligato_violin_3_4_1_2_kgl.htm?listPosition=58&type=category,https://www.thomann.de/de//pirastro_obligato_violin_3_4_1_2_kgl.htm?listPosition=58&type=category
Kaplan KV310-4/4M Vivo Violin Medium,89 €,https://www.thomann.de/de//kaplan_kv310_4_4m_vivo_violin_medium.htm?listPosition=59&type=category,https://www.thomann.de/de//kaplan_kv310_4_4m_vivo_violin_medium.htm?listPosition=59&type=category
Pirastro Gold E Violin 4/4 SLG medium,"6,30 €",https://www.thomann.de/de//pirastro_gold_e_violin_4_4_slg_medium.htm?listPosition=60&type=category,https://www.thomann.de/de//pirastro_gold_e_violin_4_4_slg_medium.htm?listPosition=60&type=category
